scientificName,specificEpithet,infraspecificEpithet,clade,north,center,south,elaiophore,pollinator_i,pollinator_ii,section,flower_type,ploidy,chromosome_number,habit,speciesAuthority,botanicalCountries
Calceolaria rubiginosa,rubiginosa,,1,0,0,1,Present,,,Cheiloncos,XIII,2,18,Shrub,C.Ehrh.,"[""CLC""]"
Calceolaria georgiana,georgiana,,1,0,0,1,Present,,,Cheiloncos,XIII,2,18,Shrub,Phil.,"[""CLC""]"
Calceolaria integrifolia,integrifolia,,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,XIII,2,18,Shrub,L.,"[""CLC"", ""CLS""]"
Calceolaria talcana,talcana,,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,XIII,2,18,Shrub,J.Grau & C.Ehrh.,"[""CLC""]"
Calceolaria cavanillesii,cavanillesii,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XIV,2,18,Rosette,Phil.,"[""AGS"", ""CLC""]"
Calceolaria pallida,pallida,,1,0,0,1,Present,,,Cheiloncos,XIV,2,18,Shrub,Phil.,"[""CLC""]"
Calceolaria meyeniana subsp. meyeniana,meyeniana,meyeniana,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XIV,2,18,Shrub,,"[""CLC""]"
Calceolaria dentata subsp. cummingiana,dentata,cummingiana,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,X,2,18,Shrub,,"[""CLC""]"
Calceolaria dentata subsp. dentata,dentata,dentata,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,X,2,18,Shrub,,"[""AGS"", ""AGW"", ""CLC"", ""CLS""]"
Calceolaria plectranthifolia,plectranthifolia,,1,0,1,1,Present,Oil-bees,Centris,Rugosae,VI,2,18,Rosette,Walp.,"[""BOL"", ""PER"", ""AGW""]"
Calceolaria valdiviana subsp. valdiviana,valdiviana,valdiviana,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,VIII,2,18,Rosette,,"[""AGS"", ""CLC"", ""CLS""]"
Calceolaria ascendens subsp. glandulifera,ascendens,glandulifera,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,III,2,18,Shrub,(Witasek) C.Ehrh.,"[""CLC""]"
Calceolaria ascendens subsp. ascendens,ascendens,ascendens,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,III,2,18,Shrub,,"[""CLC""]"
Calceolaria morisii,morisii,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,X,2,18,Shrub,Walp.,"[""CLC""]"
Calceolaria densifolia subsp. densifolia,densifolia,densifolia,1,0,0,1,Present,,,Cheiloncos,X,,,Shrub,,"[""CLC""]"
Calceolaria collina subsp. collina,collina,collina,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,III,2,18,Rosette,,"[""CLC""]"
Calceolaria collina subsp. subincisa,collina,subincisa,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,III,2,18,Shrub,(Benth.) C.Ehrh.,"[""CLC"", ""CLN""]"
Calceolaria paposana,paposana,,1,0,0,1,Present,,,Cheiloncos,III,2,18,Shrub,Phil.,"[""CLN""]"
Calceolaria collina subsp. conferta,collina,conferta,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,III,2,18,Rosette,(Witasek) C.Ehrh.,"[""CLC""]"
Calceolaria thyrsiflora,thyrsiflora,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XIII,2,18,Shrub,Graham,"[""CLC""]"
Calceolaria alba,alba,,1,0,0,1,Present,Oil-bees,Centris,Integerrimae,VI,2,18,Shrub,Ruiz & Pav.,"[""PER"", ""CLC""]"
Calceolaria polifolia,polifolia,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,X,2,18,Shrub,Hook.,"[""CLC""]"
Calceolaria nitida,nitida,,1,0,0,1,Present,,,Cheiloncos,X,2,18,Shrub,Colla,"[""CLC""]"
Calceolaria glandulosa subsp. glandulosa,glandulosa,glandulosa,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XII,2,18,Rosette,,"[""CLC"", ""CLN""]"
Calceolaria glandulosa subsp. alicahuensis,glandulosa,alicahuensis,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XII,2,18,Rosette,(Muñoz-Schick) C.Ehrh.,"[""CLC""]"
Calceolaria flavovirens,flavovirens,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,X,2,18,Shrub,C.Ehrh.,"[""CLC"", ""CLN""]"
Calceolaria cana,cana,,1,0,0,1,Present,Pollen- and Oil-bees,Pollen-bees & Centris,Cheiloncos,IV,2,18,Rosette,Cav.,"[""CLC""]"
Calceolaria campanae,campanae,,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,VIII,2,18,Rosette,Phil.,"[""CLC""]"
Calceolaria arachnoidea subsp. arachnoidea,arachnoidea,arachnoidea,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,IV,2,18,Rosette,,"[""CLC""]"
Calceolaria petioalaris,petioalaris,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XI,2,18,Herb,Cav.,"[""CLC""]"
Calceolaria asperula,asperula,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,X,,,Shrub,Phil.,"[""CLC""]"
Calceolaria purpurea,purpurea,,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,X,2,18,Rosette,Graham,"[""CLC""]"
Calceolaria corymbosa subsp. montana,corymbosa,montana,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,IV,2,18,Rosette,,"[""AGE"", ""AGW"", ""CLC""]"
Calceolaria corymbosa subsp. floccosa,corymbosa,floccosa,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,IV,2,18,Rosette,(Witasek) C.Ehrh.,"[""AGS"", ""AGW"", ""CLC""]"
Calceolaria corymbosa subsp. tetraphylla,corymbosa,tetraphylla,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,IV,2,18,Rosette,(Phil.) C.Ehrh.,"[""CLC""]"
Calceolaria corymbosa subsp. corymbosa,corymbosa,corymbosa,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,IV,2,18,Rosette,,"[""CLC"", ""CLS""]"
Calceolaria crenatiflora,crenatiflora,,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,IV,,,Shrub,Cav.,"[""AGS"", ""CLC"", ""CLS""]"
