scientificName,specificEpithet,infraspecificEpithet,clade,north,center,south,elaiophore,pollinator_i,pollinator_ii,section,flower_type,ploidy,chromosome_number,habit
Calceolaria rubiginosa,rubiginosa,,1,0,0,1,Present,,,Cheiloncos,XIII,2,18,Shrub
Calceolaria georgiana,georgiana,,1,0,0,1,Present,,,Cheiloncos,XIII,2,18,Shrub
Calceolaria integrifolia,integrifolia,,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,XIII,2,18,Shrub
Calceolaria talcana,talcana,,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,XIII,2,18,Shrub
Calceolaria cavanillesii,cavanillesii,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XIV,2,18,Rosette
Calceolaria pallida,pallida,,1,0,0,1,Present,,,Cheiloncos,XIV,2,18,Shrub
Calceolaria meyeniana subsp. meyeniana,meyeniana,meyeniana,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XIV,2,18,Shrub
Calceolaria dentata subsp. cummingiana,dentata,cummingiana,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,X,2,18,Shrub
Calceolaria dentata subsp. dentata,dentata,dentata,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,X,2,18,Shrub
Calceolaria plectranthifolia,plectranthifolia,,1,0,1,1,Present,Oil-bees,Centris,Rugosae,VI,2,18,Rosette
Calceolaria valdiviana subsp. valdiviana,valdiviana,valdiviana,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,VIII,2,18,Rosette
Calceolaria ascendens subsp. glandulifera,ascendens,glandulifera,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,III,2,18,Shrub
Calceolaria ascendens subsp. ascendens,ascendens,ascendens,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,III,2,18,Shrub
Calceolaria morisii,morisii,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,X,2,18,Shrub
Calceolaria densifolia subsp. densifolia,densifolia,densifolia,1,0,0,1,Present,,,Cheiloncos,X,,,Shrub
Calceolaria collina subsp. collina,collina,collina,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,III,2,18,Rosette
Calceolaria collina subsp. subincisa,collina,subincisa,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,III,2,18,Shrub
Calceolaria paposana,paposana,,1,0,0,1,Present,,,Cheiloncos,III,2,18,Shrub
Calceolaria collina subsp. conferta,collina,conferta,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,III,2,18,Rosette
Calceolaria thyrsiflora,thyrsiflora,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XIII,2,18,Shrub
Calceolaria alba,alba,,1,0,0,1,Present,Oil-bees,Centris,Integerrimae,VI,2,18,Shrub
Calceolaria polifolia,polifolia,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,X,2,18,Shrub
Calceolaria nitida,nitida,,1,0,0,1,Present,,,Cheiloncos,X,2,18,Shrub
Calceolaria glandulosa subsp. glandulosa,glandulosa,glandulosa,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XII,2,18,Rosette
Calceolaria glandulosa subsp. alicahuensis,glandulosa,alicahuensis,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XII,2,18,Rosette
Calceolaria flavovirens,flavovirens,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,X,2,18,Shrub
Calceolaria cana,cana,,1,0,0,1,Present,Pollen- and Oil-bees,Pollen-bees & Centris,Cheiloncos,IV,2,18,Rosette
Calceolaria campanae,campanae,,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,VIII,2,18,Rosette
Calceolaria arachnoidea subsp. arachnoidea,arachnoidea,arachnoidea,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,IV,2,18,Rosette
Calceolaria petioalaris,petioalaris,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,XI,2,18,Herb
Calceolaria asperula,asperula,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,X,,,Shrub
Calceolaria purpurea,purpurea,,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,X,2,18,Rosette
Calceolaria corymbosa subsp. montana,corymbosa,montana,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,IV,2,18,Rosette
Calceolaria corymbosa subsp. floccosa,corymbosa,floccosa,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,IV,2,18,Rosette
Calceolaria corymbosa subsp. tetraphylla,corymbosa,tetraphylla,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,IV,2,18,Rosette
Calceolaria corymbosa subsp. corymbosa,corymbosa,corymbosa,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,IV,2,18,Rosette
Calceolaria crenatiflora,crenatiflora,,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,IV,,,Shrub
Calceolaria corymbosa subsp. santiagina,corymbosa,santiagina,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,IV,2,18,Rosette
Calceolaria corymbosa subsp. mimuloides,corymbosa,mimuloides,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,IV,2,18,Rosette
Calceolaria williamsii,williamsii,,1,0,0,1,Present,,,Cheiloncos,V,2,18,Rosette
Calceolaria filicaulis subsp. luxurians,filicaulis,luxurians,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,V,2,18,Rosette
Calceolaria filicaulis subsp. filicaulis,filicaulis,filicaulis,1,0,0,1,Present,Oil-bees,Chalepogenus,Cheiloncos,V,2 & 4,18 & 36,Rosette
Calceolaria aiseniana,aiseniana,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,V,4,36,Rosette
Calceolaria picta,picta,,1,0,0,1,Present,Oil-bees,Centris,Cheiloncos,IV,2,18,Rosette
Calceolaria nudicaulis,nudicaulis,,1,0,0,1,Present,,,Cheiloncos,V,2 & 4,18 & 36,Rosette
Calceolaria volckmannii,volckmannii,,1,0,0,1,Present,,,Cheiloncos,XII,,,Rosette
Calceolaria uniflora,uniflora,,1,0,0,1,Present,Bird,Bird,Kremastocheilos,XV,4,36,Rosette
Calceolaria pennellii,pennellii,,1,0,0,1,Present,,,Bellidifoliae,XV,,,Herb
Calceolaria polyrhiza,polyrhiza,,1,0,0,1,Present,Oil-bees,Centris & Chalepogenus,Cheiloncos,I,2,18,Rosette
